nodeName	altName	nodeAttr[nodesPresent, ]
PAFAH1B2	NA	turquoise
LMBRD1	NA	turquoise
BMI1	NA	turquoise
MLKL	NA	turquoise
TRAPPC11	NA	turquoise
CDKN2AIP	NA	turquoise
SLC16A4	NA	turquoise
AHCYL1	NA	turquoise
DNAJC21	NA	turquoise
ZNF507	NA	turquoise
RAB3B	NA	turquoise
PGM2	NA	turquoise
SLC33A1	NA	turquoise
MMGT1	NA	turquoise
CLIC4	NA	turquoise
MUC15	NA	turquoise
ZNF32	NA	turquoise
NLGN2	NA	turquoise
YWHAG	NA	turquoise
USP38	NA	turquoise
TMED10	NA	turquoise
SOCS6	NA	turquoise
PSG6	NA	turquoise
KIAA0232	NA	turquoise
RNF139	NA	turquoise
MTM1	NA	turquoise
PRKCE	NA	turquoise
TCEA2	NA	turquoise
ZNF217	NA	turquoise
EIF2AK3	NA	turquoise
BPGM	NA	turquoise
GNG12	NA	turquoise
GTPBP2	NA	turquoise
AFF1	NA	turquoise
SP3	NA	turquoise
EGFL7	NA	turquoise
ADCK5	NA	turquoise
ZBTB21	NA	turquoise
SMARCC1	NA	turquoise
CCDC106	NA	turquoise
AGFG1	NA	turquoise
CCS	NA	turquoise
AKIRIN1	NA	turquoise
SRP72	NA	turquoise
THAP6	NA	turquoise
TMEM9B	NA	turquoise
SMAD2	NA	turquoise
MLXIP	NA	turquoise
TMEM39A	NA	turquoise
LPCAT4	NA	turquoise
ZBTB34	NA	turquoise
PUS1	NA	turquoise
ZBTB38	NA	turquoise
PVRL3	NA	turquoise
ARL6IP6	NA	turquoise
PDE4DIP	NA	turquoise
DALRD3	NA	turquoise
ZNF518B	NA	turquoise
KDELC2	NA	turquoise
DTX3	NA	turquoise
SUZ12	NA	turquoise
EXOC3L1	NA	turquoise
SPTY2D1	NA	turquoise
PACS2	NA	turquoise
MCFD2	NA	turquoise
ZDHHC20	NA	turquoise
YIPF6	NA	turquoise
TMEM30B	NA	turquoise
CREB3L2	NA	turquoise
UBA7	NA	turquoise
PAPPA	NA	turquoise
ACBD3	NA	turquoise
C16orf72	NA	turquoise
TBK1	NA	turquoise
CHEK2	NA	turquoise
NUDT14	NA	turquoise
COPB2	NA	turquoise
BTBD6	NA	turquoise
JAG2	NA	turquoise
TMEM106A	NA	turquoise
C6orf120	NA	turquoise
MAPK11	NA	turquoise
C17orf70	NA	turquoise
SP1	NA	turquoise
YTHDF3	NA	turquoise
MORF4L1	NA	turquoise
KPNA4	NA	turquoise
GPATCH8	NA	turquoise
ZFP91	NA	turquoise
EPOR	NA	turquoise
EXD3	NA	turquoise
RILPL1	NA	turquoise
